Word,CEFR,Receptive_freq
fyndig,C1,6
fyrfaldig,A2,3
fysisk,A2,1
galen,A2,1
galen,B1,4
galen,B2,7
galen,C1,2
gammal,A1,27
gammal,A2,70
gammal,B1,182
gammal,B2,162
gammal,C1,132
gammaldags,C1,3
gångbar,B2,2
gångbar,C1,7
gåtfull,C1,11
gedigen,B2,1
gedigen,C1,4
gemen,B2,1
gemensam,A2,1
gemensam,B1,11
gemensam,B2,14
gemensam,C1,33
generell,A2,1
generell,C1,9
generös,B1,1
generös,B2,5
generös,C1,5
genetisk,B2,1
genetisk,C1,1
genial,C1,3
genialisk,C1,1
genomblöt,B2,2
genomskinlig,B1,1
genomskinlig,C1,2
genomsnittlig,B1,2
genomsnittlig,C1,4
gentil,C1,2
genuin,B1,1
genuin,C1,14
geografisk,B2,2
geografisk,C1,5
germansk,B1,3
germansk,B2,4
germansk,C1,2
giftfri,B2,1
giftig,A2,1
giftig,B1,2
giftig,B2,1
gigantisk,B1,1
gigantisk,C1,2
givande,B1,1
givande,B2,1
givmild,B2,2
glad,A1,12
glad,A2,21
glad,B1,52
glad,B2,40
glad,C1,53
glädjerik,B1,1
glamorös,B1,2
glansig,B2,2
global,B2,7
global,C1,1
god,A1,17
god,A2,16
god,B1,72
god,B2,104
god,C1,96
godtagbar,C1,1
gotisk,C1,2
gotländsk,B2,1
grå,A2,4
grå,B1,11
grå,B2,9
grå,C1,10
grafisk,B1,1
grafisk,B2,2
grammatisk,A2,1
grammatisk,B1,4
grammatisk,B2,1
grammatisk,C1,2
gräslig,B2,3
gratis,A2,1
gravid,B2,3
gravid,C1,8
grekisk,A1,2
grekisk,A2,1
grekisk,B1,6
grekisk,B2,10
grekisk,C1,18
grinig,B2,1
grön,A1,1
grön,A2,27
grön,B1,43
grön,B2,16
grön,C1,5
grotesk,C1,1
grov,B1,2
grov,B2,1
grov,C1,4
grund,B1,1
grund,C1,1
grundlig,C1,2
grym,B1,3
grym,B2,5
grym,C1,2
gubbig,B2,1
gudomlig,C1,5
gul,A1,4
gul,A2,34
gul,B1,29
gul,B2,2
gul,C1,1
gulaktig,B1,1
gullig,B1,11
gullig,B2,1
gullig,C1,2
gyllene,B2,2
gyllene,C1,3
gyllne,B2,1
gymnastisk,B1,1
hackig,B2,1
hackig,C1,4
häftig,C1,4
haitisk,C1,2
hållbar,B2,16
hållbar,C1,1
hållningslös,B2,2
hälsosam,B1,1
hälsosam,B2,2
hälsosam,C1,1
halv,A1,51
halv,A2,28
halv,B1,16
halv,B2,18
halv,C1,15
halvklar,A1,1
halvklar,A2,1
